the,6
and,4
that,7
was,6
for,6
are,3
with,10
his,6
they,10
one,3
have,10
this,7
from,9
had,7
not,3
word,8
what,10
some,6
can,5
other,8
were,7
all,3
there,8
when,10
how,9
said,5
each,9
she,6
which,16
their,8
time,6
will,7
way,9
many,9
then,7
them,9
write,8
these,8
her,6
long,5
thing,9
see,3
him,8
two,6
has,6
more,6
day,7
come,8
did,5
most,6
people,10
over,7
water,8
than,7
call,6
first,8
who,9
may,8
down,8
side,5
been,6
now,6
find,8
any,6
new,6
part,6
get,4
place,9
made,7
live,7
where,11
after,8
little,6
only,7
man,5
year,7
came,8
show,10
every,11
good,6
give,8
name,6
very,10
form,9
sentence,10
great,6
say,6
help,9
low,6
line,4
differ,13
mean,6
before,11
move,9
right,9
boy,8
old,4
too,3
same,6
tell,4
does,5
set,3
three,8
want,7
air,3
well,7
also,4
play,9
small,7
end,4
home,9
read,5
hand,8
port,6
large,6
spell,7
add,5
even,7
land,5
here,7
big,6
high,11
follow,12
act,5
why,12
men,5
change,12
went,7
light,9
off,9
need,5
try,6
again,6
animal,8
point,7
mother,11
world,9
near,4
self,7
earth,8
father,12
head,8
stand,6
own,6
page,7
answer,9
school,11
grow,8
still,5
learn,5
plant,7
cover,10
food,8
between,12
state,5
eye,6
never,8
last,4
let,3
city,9
tree,4
cross,7
farm,9
hard,8
start,5
might,11
story,8
saw,6
far,6
sea,3
draw,8
left,7
late,4
while,11
press,7
close,7
night,9
real,4
life,7
few,9
north,8
open,6
seem,6
together,12
white,11
children,14
begin,8
got,4
ease,4
paper,9
always,12
those,8
both,9
often,8
letter,6
mile,6
river,8
car,5
feet,7
care,6
second,9
carry,10
science,11
eat,3
room,6
friend,10
began,8
idea,5
fish,10
stop,6
once,6
base,6
hear,7
horse,8
watch,13
color,7
face,9
wood,8
main,6
plain,7
girl,5
ready,9
above,10
ever,7
red,4
list,4
feel,7
bird,7
soon,4
body,10
dog,5
family,14
direct,9
pose,6
leave,8
song,5
door,5
short,8
class,7
wind,8
happen,13
complete,14
ship,9
area,4
half,10
order,6
fire,7
problem,13
piece,9
told,5
pass,6
since,7
top,5
whole,11
space,9
heard,9
best,6
better,8
five,10
remember,14
step,6
early,8
hold,8
west,7
interest,8
reach,10
fast,7
verb,9
sing,5
listen,6
table,7
travel,9
less,4
morning,10
ten,3
simple,10
several,10
vowel,11
toward,10
war,6
lay,6
against,8
pattern,9
slow,7
center,8
love,7
person,8
money,10
serve,8
appear,10
road,5
map,7
rain,4
govern,10
cold,7
notice,8
voice,10
power,10
town,7
fine,7
certain,9
fly,9
fall,7
lead,5
cry,8
machine,14
note,4
wait,7
plan,6
star,4
field,9
rest,4
correct,11
able,6
done,5
drive,9
stood,6
contain,9
front,8
teach,10
final,8
gave,8
green,6
develop,13
ocean,7
warm,9
free,7
strong,7
special,11
mind,7
behind,12
clear,7
tail,4
fact,9
street,6
inch,9
nothing,11
stay,7
wheel,11
force,10
decide,10
deep,7
moon,6
island,7
foot,7
system,11
test,4
record,9
boat,6
common,12
gold,6
possible,12
plane,7
stead,6
dry,7
wonder,10
ago,4
ran,3
game,7
shape,10
hot,6
miss,6
heat,7
snow,7
tire,4
bring,8
yes,6
distant,8
fill,7
east,4
paint,7
among,8
grand,7
ball,6
yet,6
wave,10
drop,7
heart,8
present,9
heavy,14
dance,8
engine,7
position,10
arm,5
wide,8
sail,4
material,10
vary,10
settle,6
weight,13
general,8
ice,5
matter,8
circle,10
pair,6
divide,11
syllable,13
felt,7
perhaps,14
reason,6
length,10
represent,11
art,3
region,7
energy,10
probable,14
bed,6
brother,12
egg,5
ride,5
cell,6
believe,12
fraction,13
forest,9
sit,3
race,6
window,13
store,5
train,5
sleep,7
prove,10
lone,4
leg,4
wall,7
catch,12
wish,10
board,8
winter,9
sat,3
written,10
wild,8
glass,6
grass,6
cow,8
edge,6
sign,5
visit,8
past,6
soft,7
bright,12
gas,4
weather,13
month,10
million,9
bear,6
finish,12
happy,15
hope,9
flower,12
clothe,11
strange,8
gone,5
baby,11
eight,9
village,11
meet,6
root,4
raise,5
solve,8
metal,7
whether,16
seven,8
paragraph,17
third,9
shall,8
held,8
hair,7
describe,13
floor,8
either,9
hill,7
safe,7
cat,5
consider,11
type,9
law,6
bit,5
coast,7
copy,11
phrase,11
silent,6
tall,4
sand,5
soil,4
roll,4
finger,10
fight,12
lie,3
beat,6
view,10
sense,5
ear,3
else,4
case,6
middle,10
son,3
moment,10
scale,7
spring,9
observe,12
child,11
straight,12
consonant,11
nation,6
dictionary,16
speed,8
method,12
organ,6
pay,8
age,4
section,9
